V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,target
4.9527707,1.9222255,0.00017775044,0.00068309123,3.9919312,-5.2800493e-05,3.9956114,38.89304,1.9945512,0.003145157,5.9948673,0.00021217423,4.176632,2.2947726,10.705236,-0.0031019642,0.96697915,1.1279918,0.0001898836,0.0001685357,-1.8060335e-05,1.2650084,1.9985309,2.043489e-05,0.00057540054,0.9991813,2.3430579,0.00018585772,0.00018516745,0.026237965,6.2326703,0.00029790492,2.002905,4.003116,0.9973342,3.7335808,1.7308018,0.9981143,8.932107,-4.1801544e-05,0.0038432411,1
5.2616487,4.755497,1.0022371,-3.8038613e-06,0.0026068103,-0.00032435925,0.006493165,27.711073,2.9960809,6.991232,0.013549588,-0.00053894863,4.1105113,3.1085916,10.54514,11.980624,0.9990109,1.1460011,-0.0002149381,0.000266183,0.00043301645,1.1560389,-0.011661062,-0.00031827597,-0.00032328846,0.00030386233,2.2580984,-3.607692e-05,0.00039162676,12.610592,4.5156665,0.00031073482,0.0070615867,0.002849257,0.0060629523,4.4138274,2.2060428,0.004262324,9.271965,-0.00039185217,-0.0026926466,1
5.173763,2.517769,0.004745731,0.001025628,1.0059426,0.0002549383,4.9980984,42.881927,1.9980489,3.9961085,1.989041,-1.679318,4.0461516,1.2817278,10.90272,10.989483,1.0088997,1.1209404,1.790744e-05,-0.00040793064,9.5520045e-05,1.2361209,1.9998904,0.00059724395,0.0010266822,-0.00025219313,2.4200513,-3.4234297e-05,3.2274074e-05,23.817741,3.5694883,0.00034971625,1.9950665,3.9999874,1.9973695,3.8763385,2.6377723,0.9992531,9.09891,0.00016119512,-0.003171391,1
5.300417,3.5730615,4.9942718,-0.0001436438,-0.0029311765,0.0034778807,0.0006616849,31.025795,1.999527,2.999959,0.9917928,0.00036620753,4.170947,1.9268243,10.761144,7.9791036,1.0449398,1.1209645,0.00031159815,0.00072553364,-0.0003429019,1.3158938,0.99643534,-0.0001707321,0.9980284,-0.0001358374,2.3768678,-0.00013380339,-9.150615e-05,0.050124645,2.989925,-0.0011921218,1.99874,2.0023625,0.004187254,4.7002854,2.553291,0.99636716,9.942478,0.00041936332,3.000334,1
4.1704097,2.760168,1.9939193,-0.00018763948,0.0025871408,0.0038246606,0.00027735418,27.310368,1.9936385,-0.0021839752,0.0083374,5.116718e-05,3.002862,0.9722748,8.599653,0.0033746765,1.0170634,1.14094,9.7390235e-05,0.000580292,-0.00025474292,1.2801194,0.009318104,0.00045800747,0.9996676,0.0006995366,1.8482524,0.35353592,3.9773084e-05,0.015221119,1.5408179,0.00037901194,-2.2544416e-05,-0.0033636927,-0.0006226027,3.7581925,2.610439,0.0017604786,8.349305,0.00029033044,1.9929297,1
5.2766275,3.453685,1.9999461,-0.00076149066,0.99795544,0.00090552296,2.998864,31.022722,1.0015508,4.993074,3.0048394,-0.00021148068,3.9305367,1.692375,10.7406645,11.984799,1.0378768,1.1270766,-0.00032001457,0.99906284,-0.00033368554,1.2729756,0.99273276,0.0005203465,4.6185814e-05,0.0007329934,2.3568983,0.00011401456,-0.00017953475,21.257921,3.0224793,0.00091251824,1.9971688,2.0007892,0.002418784,4.7012916,2.821773,0.99728644,9.705179,-0.00011166564,-0.003183312,1
5.5090556,2.4466114,0.0054982994,-0.00067662855,0.010748566,0.9956818,3.9888663,45.499287,2.0021274,1.9982316,0.0047737574,0.00019108909,3.7404304,0.73376083,10.805604,3.9996252,0.99199903,1.1129907,-0.00020795039,-0.00038385036,0.0003516673,1.2711186,2.0036938,-0.0002672246,0.0005426478,0.0004023143,2.4196944,9.122137e-05,-0.00024261881,-0.0050749783,2.7318838,-0.000975891,2.001523,0.008659994,1.9992507,3.7839997,2.3499842,0.0042570787,8.78634,5.8796195e-05,0.0029482178,1
4.801793,2.3057878,2.9972372,0.00041437114,0.9990207,0.001971284,1.9998871,44.987087,-0.0033502623,0.0042988644,4.0027976,0.0001450594,3.8596747,1.6321683,10.180884,0.0019219919,1.0100858,1.079107,0.00014183574,0.00023731201,0.0003392509,1.4375952,2.9870071,0.0002465749,0.0007275712,0.0002519057,2.3794947,-0.0012425233,0.00013748,0.02866602,3.1055732,0.00043790133,0.0028246501,1.9924253,0.0010391747,4.345275,2.249914,1.9955599,9.454039,-1.5739415e-05,0.0022281937,1
5.3516035,2.4161985,-0.00037788408,-0.0006410446,0.00074046967,0.0005213412,4.9883113,55.983574,0.0012141422,2.9976943,0.0030032613,-0.5123789,3.8072681,0.68448025,10.7837925,10.990537,1.021161,1.0920467,-5.7912464e-05,0.0003118029,0.00084706384,1.2911409,5.984016,-0.0004718846,0.0007702332,-0.00032789476,2.5177715,9.442838e-05,6.4168357e-06,24.32044,1.3212702,0.0003143409,0.99851036,0.00307647,1.0014242,3.9664848,2.6840768,0.0036973315,8.972146,0.0003052111,0.006207281,1
5.3698525,3.2359357,0.0030803774,0.0004990954,0.0010054719,0.99916834,3.0000396,39.272408,3.996659,1.0040675,0.00017704733,-0.00026224894,3.3514185,1.1211897,10.523956,3.0047083,0.97813994,1.1260371,-2.634994e-05,0.0010624639,-3.738714e-05,1.2732564,0.99758625,-0.0005580878,0.0003359389,0.00026014232,2.3636374,0.0039577545,0.00025287087,0.02020216,1.7202573,0.00060963724,1.0004157,0.004221356,0.9978061,3.7649524,2.189464,0.0013808566,8.356602,0.0002359114,-0.0014466711,1
