letter,xbox ,ybox ,width ,height,onpix ,xbar ,ybar ,x2bar,y2bar ,xybar ,x2ybar,xy2bar,xedge ,xedgey,yedge ,label
0.89416754,0.25953668,-0.3380151,-0.380031,0.3988941,-0.6873839,-0.32839015,0.29877314,-1.3477612,0.89677525,-1.2393136,0.39760253,-0.5844319,-1.7178954,-1.1607456,-0.029155474,14
-0.6204573,1.7521038,0.42467913,1.0921276,1.9364746,-0.24590074,0.35075954,-0.8820063,1.3620926,1.7000843,-0.44634232,-0.7191156,0.9813545,-0.6484157,-0.39314395,-0.34370786,2
-1.0279572,0.44507188,1.4568174,0.9403378,-0.6523579,-0.352118,-1.2661419,-1.1013074,0.5654307,-0.07366297,0.4832415,-2.34508,0.9104835,0.16600089,-0.33969986,-0.6202624,15
0.010467324,1.3641356,0.77662975,0.48196214,0.1939716,-0.5508674,-2.128766,-0.41302544,2.256172,-0.12746581,1.1286981,1.6135529,-0.5024784,0.40697938,-0.34726697,-0.1835438,14
-0.78633475,-0.036888618,-0.013976071,0.6897358,0.12621118,0.076982625,-0.07669401,0.13425025,0.51167613,0.13243647,1.5764903,0.4958237,-0.5030101,0.36542526,2.3674352,-1.2210588,2
0.7405664,-0.7175904,-1.6880362,0.27098998,-1.0642906,0.39083284,-1.2961416,0.18364245,-0.73184305,0.26206833,0.7591264,-0.39239883,-0.5805897,-0.57314557,-0.3419419,0.34067357,13
-1.2769358,-0.37090564,0.09515926,1.060863,-0.74490094,0.70216966,0.28292698,1.5563961,0.025603442,-1.3026917,1.4071189,-0.0333287,0.5383968,0.32523808,-0.16552855,-0.1567893,2
-1.3366792,0.4362986,-1.0377901,-0.33414054,-0.08955209,-2.3159926,0.067595795,0.41705695,-0.3453527,1.462802,-0.44069213,0.30456218,-0.9974126,0.3865577,-1.2002667,0.85586375,13
-0.5357821,1.4808269,1.3217347,-0.83938754,-0.5086275,0.21672693,1.5391088,-0.18516095,-0.42842484,0.038521208,0.016948212,-0.8563494,1.0010076,-0.4886984,1.8890529,1.2594125,13
-0.022205003,1.816942,-0.6368001,0.08479445,0.43645576,-0.080194786,0.35211205,-0.49681777,-1.1917212,-0.6459941,-0.54281783,-0.23003998,-0.02030868,0.49905214,0.31244668,-1.5655767,14
