ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal Loan
3492.829901790161,62.275066642952034,33.43190989585939,42.808216867417336,92546.52265700606,2,2/40,2,172.02506902598327,0,0,1,0,0
964.2707172514354,50.4990723897903,24.58484863201005,60.33897308432438,94607.71389334317,3,1/50,2,0.0,0,0,0,0,0
4573.572756249267,30.6113238773277,9.518604679216326,46.27877404236505,94494.38084640329,3,2/00,2,0.088067099351574,0,0,0,0,0
4123.30412065178,59.48304389023672,37.677594203668704,49.27178738996605,91364.49636105337,1,2/40,2,129.11073586682585,0,0,0,0,0
1737.9081899960154,63.27803523085617,37.6373630449171,190.9479859016998,95418.36609538058,2,0/30,1,0.0,0,0,1,0,0
2265.6704577761598,32.72739812621988,7.2866553184248195,135.4500960230365,94267.8243966926,1,0/30,1,1.1393867462788152,0,0,0,0,0
3519.024120253503,42.291059849725734,16.241785528342124,53.277894267104884,91748.19661072081,3,1/40,1,0.5844184260310903,0,0,0,0,0
4386.94186018308,57.07709210838801,31.790078467717503,183.14113767902492,95560.25383633251,1,0/30,1,0.1816841373635186,0,0,0,0,0
345.3598193078622,30.62507159629364,9.4198918178742,85.305365548034,95181.07184513785,3,0/20,2,1.351571247319857,0,0,1,1,1
3451.5286286713426,63.42071965532523,35.305816057348025,114.28060162191198,94378.39367264068,2,0/10,2,155.6406180721558,0,0,0,0,0
2205.798723617821,45.23555712887923,7.930480833686785,56.56004286220346,90093.15840868614,4,0/30,1,0.37720371729634233,0,0,0,0,0
3989.4710779476127,65.32293064456337,37.89098690812972,90.90370745982047,94471.079158951,2,0/10,1,0.0,0,0,1,0,0
256.46931641473077,39.388311756682214,20.49015888146902,71.21550676606869,92759.70480969697,4,0/20,1,1.504675717403307,1,0,1,1,0
1457.6125879531094,41.790315365117095,34.88294082705391,55.83861714401232,94244.33554617502,1,1/00,3,0.0,0,0,1,0,0
1952.3467735474549,44.6130388295495,7.731315418946287,54.86836082505909,90080.46210890086,4,0/30,3,0.9992330891232685,0,0,0,0,0
4435.4864055904745,67.0,38.87405770424099,30.25213318559555,94195.92945431548,1,0/30,3,0.1931586395558265,0,0,1,0,0
1410.7288534609997,42.090124513972846,16.803483690776197,118.78951473887855,91921.32236536535,1,1/90,1,0.5952242408413773,0,0,0,0,0
3186.2437340897063,29.54582538837884,5.130746434896399,59.374423145106526,90052.2052868023,4,0/30,1,1.4322895192422394,0,0,0,0,0
1106.6566394782155,49.83642766141138,18.345484751161806,91.89847043311373,94667.66635869542,3,1/00,2,0.17561637956086923,0,0,1,1,0
1072.950980484032,49.56640959424133,28.449851167902924,29.24695329284139,90220.61674310827,4,0/30,1,0.32108617876204126,0,0,0,0,0
168.44501746645187,50.873356367429864,23.931797538820447,76.77142640767859,92616.24267278476,3,1/40,1,0.0,0,0,1,1,0
2450.7674432863673,55.062032073844556,33.23079605782156,59.70265735191556,91855.567206812,1,0/30,3,0.0,0,0,0,0,0
252.76217566234035,41.976613878567505,17.461771604149664,67.86276239781286,92961.96887409705,4,0/20,1,1.3819669722323595,1,1,1,1,0
2313.946088211147,63.14677377659473,39.82637974111679,39.09496262999613,93974.88998238526,2,0/30,3,0.0,0,0,0,0,0
2816.4086708174186,53.60687425466747,10.83055788276641,109.88725275375099,90416.26530121664,1,1/00,1,0.6634060322766366,0,0,1,0,1
