sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),categorical_feature,Category
5.637332797366417,3.419486275594903,5.91883879072546,2.1856067346471577,low,2.0
5.709637271482162,3.172936661696915,1.396764974204062,0.22893406396652463,low,0.004779939521442043
7.014610295490516,3.1456569220168187,5.260628888996138,1.8277671082504865,medium,2.0
5.286551662019827,2.629073179599269,4.127662504266719,1.6119947163124897,low,0.9522631278370798
5.5973946929211325,3.0604037466112803,5.285987609681263,1.4996696715624072,high,2.0
7.146336842442149,3.2494380657126736,5.851025569632105,2.3221909959030973,high,2.0
5.025584086586786,2.6896459685929632,3.735701642714103,1.0026693351494718,medium,1.0251166632296047
6.409282331578315,3.12145345804586,4.334272889001757,1.6973376815634786,medium,1.0265214875638495
7.043916310612578,2.9801299246108806,4.908455686182931,1.875603407505834,medium,2.0
7.191134308649736,2.9840573933748167,5.091415086425545,2.1068076217332736,high,1.930978911632376
6.011044648812532,2.658750048048592,5.523390642438156,1.474089721044649,medium,2.0
5.2961988492784275,3.4846687594473646,1.659206843031829,1.569752818247898,low,0.06718898065092754
6.25426878620535,3.134901247269537,4.314919549179069,1.3246735062636419,low,0.9241129233569196
5.935127775580928,2.813053725720145,5.062297228320849,2.5,medium,2.0
5.487217292450733,2.3963512373320346,3.872541150205409,1.147041741011286,medium,0.887077765561348
4.848742722274242,4.129309329710735,1.2707244161085223,0.1701205880507034,low,0.0
7.700000000000001,2.7901214595327315,6.686887786173543,2.5,high,1.9185171780152912
6.026192373123044,3.4683691262520817,6.412913082759081,2.3107749985715778,medium,1.7211019454093006
6.242815356932122,2.9007539228683368,4.0408836705781805,1.1383963092482166,medium,0.9791605628820867
6.802214591340006,3.675237204171159,4.518474737708648,1.8788399422843372,low,2.0
6.069654446185754,2.5450257932621794,5.911585491263129,1.5269642748097472,medium,2.0
5.74151245827356,3.066373108306393,4.893572501040921,1.7060241114028352,medium,1.0851989024068516
6.2461670398953455,3.224600482443865,4.48480233929901,1.5501731328861788,high,0.925837109071261
4.3,3.7020568301305126,1.7879675882917538,0.16724612843807252,low,0.0
5.3074923288127485,2.975503914229946,4.803924280111439,1.6604263698449102,low,0.21287632345852012
5.47943881187425,2.7016235346560618,4.4294103910256615,1.2216097531264443,medium,1.0104776627899843
5.343513126314135,2.0,3.2050935694944087,0.8563475798880207,medium,1.0473788764715717
5.754652332315689,2.9200338047942465,5.489789456161036,2.3636744099525817,medium,2.0
4.586578807304637,3.6669415076106056,1.6439618146887545,0.22159808252622085,low,0.1494900781989343
6.953285231078509,2.9094186248211886,5.3098564209962325,1.9704559399372008,medium,1.8587249944360527
6.3002171074090505,3.0616234785197523,4.936860770560955,1.9467858959774362,high,2.0
6.405047677116842,2.9051200845653335,4.344407042915943,1.4294214086206813,medium,1.0307140125284344
5.140337504584803,3.088289519964058,4.36045867913717,1.1584790149982713,medium,0.7460788468710333
5.499788606988575,2.3831789591603902,4.347091373963328,1.488710155202692,low,0.9571721361457123
6.957586715567385,3.4943470098961935,5.953563010900736,1.8881788780066329,high,2.0
6.963241834216563,3.806389849029631,6.700000000000001,2.387771503048704,medium,2.0
5.358422554187261,3.4932329423212387,4.190824654726101,0.11512385254375325,low,1.0123407390773085
4.979036826206868,3.4928871972117705,2.1916125150641257,0.21849461560180433,low,0.12457728551848676
5.478958602009468,3.6515425338939487,1.802716823959976,0.3111172444149834,low,0.04969482178885494
7.196466499246693,2.054270508832286,4.891718551636033,1.1582332095093313,high,0.9900845515217584
5.932953506436225,2.7370037711363975,4.129582772792905,1.1977881326002864,medium,0.9721788720860488
5.130842297193927,2.860698836077963,1.3062268209257126,0.2547852889707401,low,0.043444245147193854
5.130968265031702,3.062250053221567,1.2066899966215863,0.16125660476672377,low,0.9692000695090646
5.846127155224697,3.5685609350490592,5.088424277229263,2.1412331457228224,medium,1.9976516062037397
5.247575198793757,3.092639552754336,4.629639185066396,1.0729791670862208,medium,0.9357714649052546
6.286320847001199,2.528979530528798,4.4388146833124535,1.602708789260076,medium,1.063061160060422
4.836888879590244,4.4,1.1439672712540374,0.1,low,0.0
5.524781381432284,2.3710966218519975,4.848659525964724,1.2634266931264688,medium,1.0212120034421721
5.340998324394758,3.118116960421885,1.1418044984255875,0.1,low,0.0
4.666927950152946,4.17563656176325,1.837256039706761,0.11547204246589325,low,0.0
6.860639272152099,2.9583716562171043,4.071865966696431,1.501723430790369,medium,0.9812952035157716
5.679562250569681,2.792162259430561,4.7885568123205235,1.8430320499418709,low,2.0
5.391831981328244,2.8648388998280554,4.32594714184957,1.4984450484376644,low,1.0036530782769246
5.92654066727457,2.6299694936038525,4.5718359608640755,1.4014311319271329,medium,1.0395040013257006
6.839519623239553,3.1959277783993376,3.7128896716378166,1.2150939995665204,low,0.9646930659189856
5.725390110165349,3.051467699129826,4.441645829788789,1.5031066617104,medium,0.901009954483191
7.45338615730003,3.287588928454999,5.83456096326395,2.326336545727206,high,2.0
5.35779437130243,3.361618957411927,1.2950003721469832,0.22484634520629249,low,0.09403324269454315
6.962974331386432,2.746108445671107,5.177478034934123,1.611631314173747,medium,1.0543563702720955
6.591784919298193,2.8173780855564243,4.648423781338821,1.5332999217425398,medium,1.0136723464500752
5.509968594934312,2.7900895482908448,5.518148496048866,1.4034154283640634,medium,0.0
5.44726803396505,3.164265761445201,1.0,0.467354338180611,low,1.018741588178076
5.547963186089873,2.658773854848095,4.872050817023218,1.3228978203761828,low,2.0
5.445224420968797,2.9350207849168157,5.5191649877642615,2.4378587365326325,medium,2.0
5.756506682998271,2.854457162452812,3.7851294870658148,1.2790017538335414,low,0.9702415989137401
5.745016132859797,2.705032705667995,4.747571294249849,1.3660043766260297,medium,1.1341645295869087
5.428242187740677,2.4910705214091955,5.00407363172386,2.1322744191287835,medium,2.0
5.298021818914783,2.8035719013617286,1.7232057527112516,0.3530752849341945,low,0.0
6.808446741367293,3.2120068454628297,5.353568375103145,2.2528565966796905,medium,1.9886293368688492
6.0508988141351105,2.759770296145187,6.150011539750376,1.7903363481608299,high,2.0
