age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
81.136185,3.8644342,618377.75,8.7492075,10.294508,3.2004604,9.419145,3.6422443,2.6568503,1.4775578,94714.516,1630.1039,66.579506,16.784163
74.02264,6.276689,669692.2,7.027522,10.7426405,3.0856328,11.586885,1.9355407,1.6212533,1.559753,55519.86,1589.8578,67.49891,9.4983015
80.24927,5.050664,150347.98,6.4483423,4.9397125,5.220177,8.384888,3.7629054,2.8441057,1.1280388,85025.914,2010.8519,80.31734,8.814939
57.20703,6.2700133,594514.06,7.0794587,3.9788103,2.8345847,11.540579,4.5735335,1.3873284,1.6714379,85886.5,920.0919,51.57226,18.35663
46.825424,6.390529,701421.56,7.771369,7.3793464,4.7914224,12.309287,3.6066592,1.5163281,1.5932599,84074.97,1536.6788,49.958393,9.419911
64.870735,4.8553967,722996.4,8.189604,6.1363816,4.024356,11.8585005,3.1942363,1.3992816,1.7605728,94759.22,1496.8037,65.28822,14.7890415
61.03234,4.6170807,832220.3,7.865198,2.554619,5.680662,12.941791,4.828218,1.8820603,1.7149533,89132.32,1037.5355,85.22646,13.663409
74.41462,5.142901,989510.4,9.53593,5.472988,4.66678,5.5068436,2.7866163,1.8094888,1.2736491,61583.91,1124.08,75.24909,28.59362
44.39291,6.710364,612953.75,5.8574452,4.567103,3.910829,13.243265,2.9415631,1.5404499,1.3487592,85837.375,1290.9795,71.63701,12.308573
64.73818,4.011484,712127.25,5.2282557,8.428833,5.7612996,9.731603,2.3353908,1.8598669,1.5455395,50999.984,1339.0161,49.696896,21.662033
78.74968,5.2151203,563149.2,5.552832,6.1115117,4.129702,9.302963,3.7406504,2.1480699,1.5136917,15693.647,1423.5763,54.86561,23.771229
69.98528,6.1345096,371572.16,6.2572446,5.3859787,4.244772,13.806062,2.7744641,1.4757966,1.2723761,76049.14,1578.2561,59.957367,19.491953
