Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7
0.5180042,0.4284732,0.49898148,0.5578462,0.47468632,0.58340406,0.48888156
0.544422,0.18168025,0.4169104,0.43848702,0.6022553,0.6175748,0.42561817
0.51296103,0.63191366,0.39829686,0.7417577,0.45874104,0.43330213,0.47300538
0.604683,0.47313982,0.53220993,0.3982495,0.45355973,0.4850718,0.6559007
0.4181889,0.64506656,0.23914003,0.34417647,0.6273249,0.5730119,0.56256545
0.7192682,0.4941578,0.45814076,0.5170794,0.51049817,0.7281168,0.5303155
0.50454503,0.47754043,0.72298867,0.52026033,0.66892564,0.8027724,0.4600672
0.500943,0.46450192,0.67297566,0.49567807,0.5378367,0.5122127,0.58076024
0.3333941,0.43956944,0.5512552,0.4922778,0.5418516,0.59470135,0.6521987
0.38483262,0.2861862,0.82290393,0.6816828,0.32167235,0.80838925,0.81264067
0.17398532,0.36298558,0.68666965,0.6744797,0.39680612,0.476475,0.63742965
0.5390091,0.585753,0.46682113,0.41458404,0.39565063,0.63788533,0.61672926
0.53434074,0.44352373,0.67170185,0.5056019,0.58683443,0.74182004,0.59972656
0.38667953,0.5329971,0.55071354,0.34144077,0.38796848,0.62337816,0.7484435
0.506974,0.48460865,0.46268985,0.4089797,0.46525067,0.5379042,0.73620194
0.45301098,0.5061066,0.37547296,0.56612873,0.47021157,0.41169614,0.46674892
0.5826833,0.5254612,0.5097642,0.35158408,0.59836096,0.40601212,0.39952126
0.32284808,0.5400042,0.40898067,0.28939337,0.6518133,0.6114766,0.57540876
0.5369459,0.3579696,0.5006944,0.45961875,0.42193484,0.43124494,0.402321
0.45798588,0.2852168,0.34002498,0.56763303,0.72326285,0.5408907,0.3564904
