Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7
0.53195554,0.51801866,0.59514683,0.70691574,0.70741606,0.5672356,0.2169817
0.5952113,0.68485886,0.54983765,0.45363778,0.50007045,0.46529052,0.38846356
0.6935888,0.44242516,0.5733715,0.5690597,0.41257805,0.5113203,0.30206358
0.4840816,0.4108668,0.5512854,0.5592962,0.5624359,0.4361963,0.48421514
0.63422275,0.55675846,0.732183,0.40130273,0.54223675,0.62510014,0.40180266
0.5804557,0.6110344,0.4203539,0.4676122,0.5283744,0.5442766,0.36826068
0.68819517,0.6096307,0.7244524,0.4659965,0.5048112,0.35595727,0.36766875
0.5862613,0.48154604,0.5238077,0.6307722,0.5712974,0.46559182,0.30742368
0.53995425,0.48616058,0.4335654,0.4058011,0.57732666,0.30570877,0.35629445
0.67313206,0.5339898,0.610595,0.2611923,0.3453072,0.4338576,0.5162409
