Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7
0.47203082,0.2551693,0.59043455,0.5843804,0.65000767,0.4655104,0.3894111
0.47541782,0.33699927,0.5520709,0.46682978,0.60689956,0.7072622,0.3503118
0.48026317,0.5576189,0.42183486,0.41617888,0.37548402,0.5023136,0.4634984
0.77718234,0.5774972,0.32471746,0.39030495,0.45383635,0.7974154,0.42484128
0.5751088,0.55286974,0.37061635,0.6314094,0.36463892,0.6540029,0.5457954
0.43747136,0.6012712,0.3920759,0.3709107,0.5356906,0.56535065,0.5574063
0.6177345,0.3245206,0.6256143,0.32711294,0.4696567,0.48126617,0.35455072
0.39291716,0.4584213,0.58829236,0.40075538,0.4871673,0.37581378,0.5152782
0.570029,0.53073776,0.4937988,0.4653296,0.4091166,0.61929506,0.48198316
0.44541615,0.5131912,0.5740141,0.46515206,0.512444,0.4759569,0.6348218
